company_name,tier,contact_name,email,phone,website,city_state_zip,country,products_summary,product_codes,has_potting_products,source,extracted_date
"Oldcastle Lawn & Garden, Inc.",Tier 2 - Commodity Producer,Scott Wiltsey,scott.wiltsey@oldcastle.com,+14042297041,www.myoldcastle.com,"Atlanta, GA  31146",United States,"CAL-TURF PRO Calcitic Limestone Enhanced with Organic Humic Chelating Agent (olg-7638), Garden Safe All Purpose Potting Mix + Calcium 0.10-0.05-0.05  (olg- 16639) l *, Garden Safe Garden Soil for Flow","olg-7638, olg-16640, olg-7639, olg-12976, olg-6949, olg-6950, olg-6951, olg-6952, olg-6953, olg-14407, olg-6589, olg-5949, olg-6590",True,OMRI Products List,2026-02-05
Premier Tech Growers and Consumers,Tier 2 - Commodity Producer,Inc.,bloe@premiertech.com,+1215-529-1280,www.premiertech.com,,United States,"Premier Tech PRO-MIX O AGTIV DEFEND B Growing Medium Biofungicide MGO (ptf-20401), Premier Sphagnum Peat Moss (ptf-17604), PREMIER TECH AGTIV REACH G (ptf-19099), Premier Tech AGTIV REACH G For Landsc","ptf-20401, ptf-17604, ptf-19099, ptf-18009, ptf-18010, ptf-18117, ptf-21021, ptf-21270, ptf-20229, ptf-20234, ptf-19405, ptf-19030, ptf-16711, ptf-20327, ptf-19655, ptf-20400, ptf-20402, ptf-20108, ptf-20109, ptf-16595, ptf-20101, ptf-17858, ptf-17857",True,OMRI Products List,2026-02-05
Premier Tech Home & Garden Inc.,Tier 2 - Commodity Producer,Client Services,pthg.consumerinfo@premiertech.com,+14188678883,www.pthomeandgarden.com,,CANADA,MYKE Potting Mix with Mycoactive 0.3-0.1-0.1 (pth-9962),pth-9962,True,OMRI Products List,2026-02-05
Sun Gro Horticulture Canada Ltd.,Tier 2 - Commodity Producer,Erin Gries,erin.gries@sungro.com,+18007328667,,"Agawam, MA  01001",United States,"Black Gold Canadian Sphagnum Peat Moss (sgr-4520), Black Gold Just Coir (sgr-5319), Black Gold Natural & Organic Potting Mix (sgr-5386), Black Gold Seedling Mix (sgr-5320), sungro Horticulture Black G","sgr-4520, sgr-5319, sgr-5386, sgr-5320, sgr-5385, sgr-3718",True,OMRI Products List,2026-02-05
Sun Gro Horticulture Distribution Inc.,Tier 2 - Commodity Producer,Erin Gries,erin.gries@sungro.com,+18007328667,www.sungro.com,"Agawam, MA  01001",United States,"Sunshine Mezcla 3 Fina Especial Peat Moss SS Mix #3 ORG No Verm (sgh- 0474), Fafard Natural & Organic Potting Mix Resilience Silicon Enriched (sgh-5474), Grower's Gold Pacific Blend Natural & Organic ","sgh-5474, sgh-21979, sgh-14581, sgh-14585, sgh-13260, sgh-14583, sgh-13258, sgh-13264, sgh-9879, sgh-4199, sgh-13259, sgh-13261, sgh-14584, sgh-13262, sgh-13263, sgh-14586, sgh-14587, sgh-14162",True,OMRI Products List,2026-02-05
"Swiss Farms Products, Inc.",Tier 2 - Commodity Producer,Greg Cunningham,greg.cunningham@scotts.com,+19376452772,www.whitneyfarms.com,,United States,"EXPERT Gardener ORGANICS GARDEN SOIL for In-Ground Plants  (swf- 19651), sta-green ORGANIC POTTING MIX PLUS FERTILIZER 0.05-0.02-0.02 (swf-21432)",swf-21432,True,OMRI Products List,2026-02-05
The Hawthorne Gardening Company,Tier 2 - Commodity Producer,Greg Cunningham,greg.cunningham@scotts.com,+19376452772,,"Marysville, OH  43041",United States,"NNS 79766 Ready-To-Use (hco- 7591) l, Whitney Farms Natural All Purpose Plant Food 10-3-6 (hco-8545), Whitney Farms Organic & Natural Seed Starting Mix (hco- 6038), Whitney Farms Organic Bark Mulch (h","hco-8545, hco-6039, hco-6053, hco-6054, hco-7322",True,OMRI Products List,2026-02-05
The Scotts Co. LLC,Tier 2 - Commodity Producer,Janelle Restum,janelle.restum@scotts.com,+18002211760,www.scotts.com,"Marysville, OH  43041",United States,"Scotts Natural Lawn Food 11-2-2 (tsc-1463), Scotts Professional Sphagnum Peat Moss Acadian Mushroom (tsc-7868), Scotts Professional Sphagnum Peat Moss Blender Grade (tsc-8737), Scotts Professional Sph","tsc-1463, tsc-7868, tsc-8737, tsc-7870, tsc-7873, tsc-7875",False,OMRI Products List,2026-02-05
AB Rekyva,Tier 3 - Other Soil/Media,,vitalijus.a@rekyva.eu,+37041519020,www.rekyva.eu,,Lithuania,Rekyva professional base substrate (akq-21416),akq-21416,False,OMRI Products List,2026-02-05
Arber,Tier 3 - Other Soil/Media,Vanessa Dawson,vanessa@growarber.com,,www.growarber.com,,United States,"Arber Bio Fungicide (arq-15230) l, Arber Bio Insecticide (arq-15229) l, Arber Bio Protectant (arq-15228) l, Arber Organic All Purpose Fertilizer 3-2-1 (arq-19200), Arber Organic Fruit & Veggie Fertili","arq-15230, arq-15229, arq-15228, arq-19200, arq-19202",False,OMRI Products List,2026-02-05
BIOGROW SUBSTRATES PHILIPPINES,Tier 3 - Other Soil/Media,PVT INC.,y.pitiot@bio-grow.com,,,,,BIOGROW Natural Choice Cocopeat Block (bez-22125),bez-22125,False,OMRI Products List,2026-02-05
BiOWiSH Technologies,Tier 3 - Other Soil/Media,Regulatory Department,regulatory@biowishtech.com,+13125726700,www.biowishtech.com,"Blue Ash, OH  45242",United States,"BiOWiSH Technologies BiOWiSH Crop 100% Natural, Organic Soil Amendment and Crop Production Additive (bwt-12735), BiOWiSH Technologies BiOWiSH Crop Organic Auxiliary Soil and Plant Substance (bwt-9650)","bwt-12735, bwt-9650",False,OMRI Products List,2026-02-05
Biogrow Substrates India Pvt Ltd,Tier 3 - Other Soil/Media,HARINI K,indiacertification@bio-grow.com,,www.bio-grow.com,,India,"Biogrow Air (bgo-8338), Biogrow Air + (bgo-8340), Biogrow AIRMEX (bgo-8339), Biogrow Duo (bgo-8341), Biogrow Duo + (bgo- 8342), Biogrow Premium (bgo-8343), G Greenfizz 70/30 (bgo-14647)","bgo-8338, bgo-8340, bgo-8339, bgo-8341, bgo-8343, bgo-14647",False,OMRI Products List,2026-02-05
Bontera BioAg,Tier 3 - Other Soil/Media,Iqbal Kalla,iqbal@bontera.com,,www.bontera.com,"Plano, TX  75093",United States,"Bontera Seed Coating Wettable Powder 0-2-6 (bba-20627), Bontera Soil Probiotic NON GMO Organic Soil Amendment (bba-15565), Bontera Tricho-Power Soluble Powder 5.8-4.4-5.2 (bba-16546), Bontera® Impact ","bba-20627, bba-15565, bba-16546, bba-7650, bba-12270, bba-7651",False,OMRI Products List,2026-02-05
Brown Grow (PVT) LTD.,Tier 3 - Other Soil/Media,Chamila Lopez,info@browngrow.com,+94773130010,www.browngrow.com,,Sri Lanka,"Brown Grow Aqua (bce-15929), Brown Grow Blue  (bce-19456), Brown Grow Coco Chips Briquettes (bce-18511), Brown Grow Coco Chips Disc (bce-18513), Brown Grow Coco Coir Briquettes (bce-18512), Brown Grow","bce-15929, bce-19456, bce-18511, bce-18513, bce-18512, bce-18514, bce-21838, bce-19458, bce-21839, bce-15930, bce-15928",False,OMRI Products List,2026-02-05
COCO COIR GLOBAL COMPANY,Tier 3 - Other Soil/Media,LIMITED,info@cococoirglobal.com,+84947990296,www.cococoirglobal.com,,,"Coco Coir Global COCO COIR Premium Quality (coz-16230), Coco Coir Global Grow Bag (coz-16114)","coz-16230, coz-16114",False,OMRI Products List,2026-02-05
COCOMATS INTERNATIONAL,Tier 3 - Other Soil/Media,Frank C,info@cocomatsint.com,,www.cocoagri.com,,India,Cocomats International COCO AGRI Premium Coco Coir Dust (cbf-17673),cbf-17673,False,OMRI Products List,2026-02-05
"Ceyhinz Link International, Inc.",Tier 3 - Other Soil/Media,,orders@riococo.com,+12144920803,www.riococo.com,"Irving, TX  75038-3584",United States,"RIOCOCO WORLDWIDE 100 Horticultural Substrate (cey-3569), RIOCOCO WORLDWIDE 200 Horticultural Substrate (cey-3570), RIOCOCO WORLDWIDE 250 Horticultural Substrate (cey-3572), RIOCOCO WORLDWIDE 300 Hort","cey-3569, cey-3570, cey-3572, cey-3571, cey-0365, cey-8578, cey-8579, cey-5886",False,OMRI Products List,2026-02-05
Coir Mart LLC,Tier 3 - Other Soil/Media,Department of Compliance,info@coirmart.com,,www.coirmart.com,"Grand Saline, TX  75140",United States,All Natural Coco Coir Block (cml- 12286),,False,OMRI Products List,2026-02-05
CoirMedia(India) Export,Tier 3 - Other Soil/Media,Pravin M,sales@coirmedia.com,,,"POLLACHI, TAMILNADU  642120",India,"Coir Media Coco Peat Grow Bag 100% Peat (cmu-20148), Coir Media Coco Peat Grow Bag 50% Chips + 50% Coco Peat (cmu- 20149)",cmu-20148,False,OMRI Products List,2026-02-05
Compaqpeat SIA,Tier 3 - Other Soil/Media,Edijs Locmels,edijs.locmels@compaqpeat.com,,www.compaqpeat.com,,,"Compaqpeat QTS Peat Moss (cst- 20516), Compaqpeat QTS Substrate 1 Blueberry Organic (cst-14184), Compaqpeat QTS Substrate 3 xtra Organic (cst-14185)","cst-14184, cst-14185",False,OMRI Products List,2026-02-05
"Corigin Solutions, LLC.",Tier 3 - Other Soil/Media,Michael Woelk,mike@corigin.co,,,,United States,"corigin Corichar 100% Organic Soil Amendment (csk-12536), corigin Coriphol (csk-12979)","csk-12536, csk-12979",False,OMRI Products List,2026-02-05
Diton Inc.,Tier 3 - Other Soil/Media,Suresh Ayakkad,suresh.ayakkad@diton.com,+16306921756,www.diton.com,"Naperville, IL  60564",USA,"Diton Coir Diton Premium Coconut Coir Coco Peat Block (dit-8855), Diton Coir Premium Coconut Husk Chips (dit-13286)","dit-8855, dit-13286",False,OMRI Products List,2026-02-05
EURO Substrates (Pvt) Ltd,Tier 3 - Other Soil/Media,Chathura Fernando,chathura@trowide.lk,+94115522772,www.eurosubstrates.com,,Sri Lanka,euro substrates Washed Power- DaeYoung (eur-17210),eur-17210,False,OMRI Products List,2026-02-05
"Earthgreen Products, Inc.",Tier 3 - Other Soil/Media,John Lown,john.lown@earthgreen.com,+12147504698,www.earthgreen.com,"Dallas, TX  75231",United States,Earthgreen Menefee Humate® All Natural Organic Soil Conditioner (etg-0434),etg-0434,False,OMRI Products List,2026-02-05
Eco Coir Products,Tier 3 - Other Soil/Media,C. John Kirubakaran,wonderpeat@gmail.com,+914622543101,www.ecocoir.com,,India,"WonderPeat Growing Media Brick (ecp-8594), WonderPeat Growing Media- Growbag (ecp-8839)","ecp-8594, ecp-8839",False,OMRI Products List,2026-02-05
Eco Films Private Limited,Tier 3 - Other Soil/Media,THILAN  Samarawickrama,thilannz@ecoagro.co.nz,+64210753429,https://ecoagro.co.nz/,,Sri Lanka,Eco Agro Coco Peat Growing Media (efl-18711),efl-18711,False,OMRI Products List,2026-02-05
Envelor Corporation,Tier 3 - Other Soil/Media,Product Team,products@envelorinc.com,+17323873569,www.envelorinc.com,"Edison, NJ  08837",United States,Envelor COCO COIR BRICK (enl- 5802) OMRI Products List Crop Products by Company 73,,False,OMRI Products List,2026-02-05
"Fertile Ground, LLC",Tier 3 - Other Soil/Media,Bill Cannon,bc@fertilemicrobes.com,+13362103943,www.fertilemicrobes.com,"Mt. Pleasant, SC  29464",United States,Fertile Ground Soil Inoculant Organic Soil Amendment (feg-9673),feg-9673,False,OMRI Products List,2026-02-05
"Fibre Dust, LLC",Tier 3 - Other Soil/Media,Andrew Pidgeon,andrewpidgeon@fiberdust.com,+18609196550,www.fiberdust.com,"Cromwell, CT  06416",United States,"Fibre Dust LLC (fdu-2770), Fibre Dust LLC CalciGro - Organic Buffered Coir (fdu-17774), Fibre Dust LLC Coco Coir Growing Medium (fdu-4216), Fibredust Powered By Hydrafiber Advanced Substrate (fdu-1518","fdu-2770, fdu-17774, fdu-4216, fdu-15187, fdu-8247",False,OMRI Products List,2026-02-05
Fibre Family,Tier 3 - Other Soil/Media,Sankar Suresh,info@fibrefamily.info,+914782595560,https://www.fibrefamily.com,,India,Fibre Family Coco Coir Pith Brick (ffc-15325),ffc-15325,False,OMRI Products List,2026-02-05
Fish Head Farms,Tier 3 - Other Soil/Media,Tom Fox,tom@fishheadfarms.com,+14014197348,,"East Providence, RI  02914",United States,FISH SH!T Organic Soil Conditioner (fhf-8054),fhf-8054,False,OMRI Products List,2026-02-05
Floragard Vertriebs GmbH,Tier 3 - Other Soil/Media,Winfried Temming,temming@floragard.de,+494412092179,,,Germany,"Floragard Floratorf Baltic Florabalt Peat 0-7 mm (flg-19858), Floragard Floratorf Baltic Floratorf Peat Moss 0-20mm (flg-10108)","flg-19858, flg-10108",False,OMRI Products List,2026-02-05
GAPS EcoSys,Tier 3 - Other Soil/Media,Ponniah Selvakumar,selva@gapsecosys.org,+14846205243,www.gapsecosys.org,"Broomall, PA  19008",United States,"Gaps Coco Coir Block (gpe-6814), Gaps Coco Grow Bag (gpe-6815)","gpe-6814, gpe-6815",False,OMRI Products List,2026-02-05
GRANATUM BIOWORKS,Tier 3 - Other Soil/Media,GreenFort,contacto@granatumbw.com,,https://greenfort.com.mx/,,Mexico,"GreenFort Chitin Organic Soil Improver Powder (grx-13991), GreenFort Myco Inoculante Endomicorrícico Polvo Humectable (grx-14601), GreenFort Oto Inoculante Ectomicorrícico Granulado (grx- 17117), Gree","grx-13991, grx-14601, grx-14602",False,OMRI Products List,2026-02-05
Ganaderia la Reestructuracion SPR de,Tier 3 - Other Soil/Media,RL de CV,grupoesj@yahoo.com,+523336738483,,,México,"BIO DESINSECTA Insecticida + Repelente ORGÁNICO (fea-21884) l, Herbas Organicum MDS & S + MICROS PLUS 3-2-2 (fea-20466) l, Herbas Organicum Plant Protein 3-2-2 Soil and Substrate Enhancer (fea-12770),","fea-21884, fea-20466, fea-12770, fea-21779",False,OMRI Products List,2026-02-05
General Hydroponics,Tier 3 - Other Soil/Media,Regulatory Affairs,state.reg@scotts.com,+18008084826,,"Santa Rosa, CA  95407",United States,"General Hydroponics CocoTek Premium Coco Growing Media (gnh-3561), General Hydroponics Defguard Biofungicide / Bactericide (gnh-6523) l, General Hydroponics Exile Insecticide / Fungicide / Miticide (g","gnh-3561, gnh-6523, gnh-6524",False,OMRI Products List,2026-02-05
Genesys Specialty Group,Tier 3 - Other Soil/Media,,info@genesysproducts.com,+17156901106,,"Morrison, IL  61270",United States,"Genesys BioStax (gsp-19888), Genesys N Fusion 8-0-0 (gsp-21147) n, Genesys Optima 2-2-0 (gsp-19886), Genesys Optima 2-5-0 (gsp-19887), Genesys Organic Soil Builder Soil Amendment (gsp-3760), Genesys® ","gsp-19888, gsp-21147, gsp-19886, gsp-19887, gsp-3760, gsp-3759",False,OMRI Products List,2026-02-05
GreeNeem Agri Pvt. Ltd,Tier 3 - Other Soil/Media,S. Sundar,info@greeneem.com,+914562280885,www.greeneem.com,,INDIA,"GreeNeem CoCo Peat (ksb-5734), GreeNeem® Neem cake (ksb-0906), GreeNeem® Neem Oil (ksb-0907), GreeNeem® Neem Oil EC Biological Insecticide, Fungicide, Nematicide, Miticide (ksb-16196) l, GreeNeem® Nee","ksb-5734, ksb-0906, ksb-0907, ksb-16196, ksb-21008",False,OMRI Products List,2026-02-05
Green Scienx,Tier 3 - Other Soil/Media,Radhika Ganesh,greensciencx@gmail.com,+917305036947,www.greenscienx.com,,India,Green X Gold Coco Peat (gsx-19127),gsx-19127,False,OMRI Products List,2026-02-05
GreenGro Biologicals,Tier 3 - Other Soil/Media,GreenGro Biologicals LLC,admin@thegreengro.com,+17078382084,www.thegreengro.com,"Windsor, CA  95492",United States,"GreenGro Biologicals 0/40 Premium Baltic Peat Moss (ggb-15127), GreenGro Biologicals Home & Garden Pride Lands Defense (ggb-15128) l, GreenGro Biologicals Home and Garden Pride Lands Worm Castings (gg","ggb-15127, ggb-15128, ggb-19463, ggb-21002, ggb-20602, ggb-17887, ggb-17551",False,OMRI Products List,2026-02-05
GroPlus,Tier 3 - Other Soil/Media,,groplusglobal@gmail.com,,www.groplusglobal.com,"Frisco, TX  75035",United States,"GroPlus Premium Coco Grow Bag (cir-6648), GroPlus Premium Coco Grow Mat (cir-8491), GroPlus Premium Coco Husk Chips (cir-6551), GroPlus Premium Coco Peat (cir- 6552), GroPlus Premium Neem Meal (cir- 6","cir-6648, cir-8491, cir-6551, cir-6555",False,OMRI Products List,2026-02-05
Grow Soil Substrates (Pvt) Ltd,Tier 3 - Other Soil/Media,Srinath  PERERA,growsoil@sltnet.lk,+94112981880,www.growsoil.com,,Sri Lanka,"G Coco Substrates Grow Soil Classic Vegetables (gsu-16036), G Coco Substrates Grow Soil Smart (gsu-15235)","gsu-16036, gsu-15235",False,OMRI Products List,2026-02-05
Growcoco Substrates (Pvt) Ltd,Tier 3 - Other Soil/Media,Srinath PERERA,info@growcoco.us,,www.growcoco.us,,Sri Lanka,Growcoco Coco Substrates (gse- 14141),,False,OMRI Products List,2026-02-05
Growrite Substrates (Pvt) Ltd.,Tier 3 - Other Soil/Media,Chathura Fernando,chathura@trowide.lk,+940764061905,www.eurosubstrates.com,,Sri Lanka,Washed Power - DaeYoung (gws- 17197),,False,OMRI Products List,2026-02-05
Hansa Forestry SIA,Tier 3 - Other Soil/Media,Martins Avotins,martins@hansaforestry.com,+37127111927,www.hansaforestry.com,,,Hansa Forestry Raw Natural Peat Moss (hfs-19849),hfs-19849,False,OMRI Products List,2026-02-05
Hawaiian Earth Products,Tier 3 - Other Soil/Media,Blane Yoshimura,blane.yoshimura@hawaiianearth.com,+18086825895,www.hawaiianearth.com,"Wahiawa, HI  96786",United States,"Menehune MAGIC Organic Compost (haw-21405), Menehune Magic Organic Soil Conditioning Compost (haw- 17880)",haw-21405,False,OMRI Products List,2026-02-05
Hi-Point Industries,Tier 3 - Other Soil/Media,Michael Butler,mbutler@hi-pointindustries.ca,+1800-661-1675,www.oclansorb.com,,Canada,Jungle Peat Moss  (hpd-15727),hpd-15727,False,OMRI Products List,2026-02-05
Humintech GmbH,Tier 3 - Other Soil/Media,,a.schroeder@humintech.com,+4921817067617,www.humintech.com,"Grevenbroich, NRW  41517",GERMANY,"HuminTech LiqHumus Liquid 18 Organic Soil Conditioner & Biostimulant 18% Humic Acids Concentrate (hgh-3123), HuminTech Perl Humus Granules Organic Soil Conditioner (hgh-9509), HuminTech PowHumus WSG85","hgh-3123, hgh-9509, hgh-3124, hgh-11153",False,OMRI Products List,2026-02-05
Hydro Generation,Tier 3 - Other Soil/Media,Steve Sevener,steve@viagrow.com,+17062028489,,,United States,"Viagrow Coconut Coir Premium Soilless Grow Media (hga-14299), Viagrow Diatomaceous Earth Food Grade (hga-15963), Viagrow Horticulture #3 Vermiculite (hga- 17062), Viagrow Neem Oil 100% Cold Pressed Ne","hga-14299, hga-15963, hga-14522",False,OMRI Products List,2026-02-05
"Hydrofarm, LLC",Tier 3 - Other Soil/Media,Product Support,product.support@hydrofarm.com,+18006349990,,"Shoemakersville, PA  19555",United States,"GROW!T Coco Coir Chips  (hle- 15662), GROW!T Coco Coir Mix (hle-15663), GROW!T Coco Coir Mix Brick (hle-15665)","hle-15663, hle-15665",False,OMRI Products List,2026-02-05
Intradix Iberica S.L.,Tier 3 - Other Soil/Media,Elena Bailo Castilla,elena.bailo@intradix.com,+34637373772,www.intradix.com,,,INTRADIX AGRO CF4 (COCO SUBSTRATES) (iii-10017),iii-10017,False,OMRI Products List,2026-02-05
Juniper Organics Limited,Tier 3 - Other Soil/Media,Manon Daniels,daniels.manon@jdirving.com,+15062465614,www.juniperfarms.com,,Canada,"Happy Brook Canadian Sphagnum Peat Moss (jun-5460), Juniper Farms Northeast Gardener Canadian Sphagnum Peat Moss Ready to use (jun-6431), JuniperFarms Natural Mulch (jun-10707), JuniperFarms Professio","jun-5460, jun-6431, jun-10707, jun-10708",False,OMRI Products List,2026-02-05
KISS Nutrients,Tier 3 - Other Soil/Media,Minh Hoang Nguyen,kissnutrientsau@gmail.com,,,,Australia,Kiss Nutrients COCO Premium Organic Coco Peat (kis-17046),kis-17046,False,OMRI Products List,2026-02-05
KK Coir Industry,Tier 3 - Other Soil/Media,Ragavendran Ganesan,raga0710@gmail.com,,,,India,Coco Peat Grow Mix Bags (kkc- 19926) OMRI Products List Crop Products by Company 113,,False,OMRI Products List,2026-02-05
Kekkilä-BVB De Lier B.V.,Tier 3 - Other Soil/Media,Kekkilä-BVB Grubbenvorst B.V.,olga.morales@kekkila-bvb.com,+34603530071,www.bvb-substrates.nl,,Netherlands,"BVB 0-6 Natural Peat (bvb-18008), BVB Hydro Fit D (bvb-15123), BVB Substrates BVB Hydro Roots Turbo (bvb-19805), BVB Substrates BVB Hydro Turbo  (bvb-20056)","bvb-18008, bvb-15123, bvb-19805, bvb-20056",False,OMRI Products List,2026-02-05
"Key2GroupUSA, LLC",Tier 3 - Other Soil/Media,JOHN BENJAMIN,johnbenjamin@longreachaustralia.com,,,,United States,KEY 2 AG Organic soil replenishment/amendment/conditioner (kgu- 20390),,False,OMRI Products List,2026-02-05
Klasmann-Deilmann GmbH,Tier 3 - Other Soil/Media,Anthony Droui,anthony.droui@klasmann-deilmann.com,+49593731341,www.klasmann-deilmann.com,,GERMANY,"K Base Substrate pH balanced peat moss (kla-5595), K Lithuanian Peat Moss Sphagnum peat moss (kla-12396), K Substrates ProLine Container coarse + 35% perlite (kla-15478), K Substrates ProLine Potting ","kla-5595, kla-12396, kla-15478, kla-11720, kla-11719, kla-22223, kla-22222, kla-21449, kla-11545, kla-18736, kla-10410",False,OMRI Products List,2026-02-05
Kokkonut USA LLC,Tier 3 - Other Soil/Media,Fida Sayed,info@kokkonut.com,,www.kokkonut.com,,United States,Kokkonut Premium 100% Coco Peat (kus-22424),kus-22424,False,OMRI Products List,2026-02-05
MADAPPATT EXPORTS,Tier 3 - Other Soil/Media,,mail@kokogro.com,,https://kokogrow.in,,India,kokogro Coco Peat Blocks (maw- 19292),,False,OMRI Products List,2026-02-05
MP ECO PRODUCTS PRIVATE LIMITED,Tier 3 - Other Soil/Media,Lakshmana Kumar Palanisamy,rp@mpgroup.co.in,,www.kokosflora.com,,India,"Kokosflora Coco Blocks (mpe- 15414), Kokosflora Coco Growbags (mpe- 15415), KOKOSFLORA ORGANIC BUFFERED COCOPEAT (mpe-20338), KOKOSFLORA PURE ORGANIC UNCOMPRESSED COCO SUBSTRATE (mpe-17154)","mpe-20338, mpe-17154",False,OMRI Products List,2026-02-05
Mar Y Tierra Fertilizantes Orgánicos,Tier 3 - Other Soil/Media,Juan Carlos Alessio Galvez,gerencia@marytierra.com.mx,+526461529012,,"Ensenada, BC  22785",MEXICO,"ANCORA Enraizador Orgánico Fertilizante Orgánico • Concentrado Soluble (mfo-19443) l, Bio Quelatos Mar y Tierra Fertilizante Orgánicos Mar y Tierra B Fertilizante Orgánico (mfo-18005) l, Bio Quelatos ","mfo-19443, mfo-18005, mfo-4686, mfo-10151, mfo-4687, mfo-4812, mfo-18011, mfo-10249, mfo-17413, mfo-17414, mfo-17723, mfo-10248, mfo-19355, mfo-10987, mfo-8814, mfo-12936, mfo-12934, mfo-14953, mfo-14256, mfo-7613, mfo-18006, mfo-17342, mfo-9938, mfo-2637, mfo-2125, mfo-1861",False,OMRI Products List,2026-02-05
Mycelium,Tier 3 - Other Soil/Media,Grains & Substrates,info@myceliumenterprises.com,+1(657)251-0016,www.myceliumenterprises.com,,United States,"Mycelium Coco Coir Compressed Organic Coconut Fiber Expandable Substrate for Plants (mgd-20060), Mycelium Coco Coir M Compressed Coconut Fiber Expandable Substrate for Mushrooms (mgd-20020)","mgd-20060, mgd-20020",False,OMRI Products List,2026-02-05
Natural Green GmbH,Tier 3 - Other Soil/Media,Ivan Ipatov,i.ipatov@manaseernaturalgreen.com,+41792965476,https://www.manaseernaturalgreen.com,,,"MNG Aminotreat Seed coating (mng-20089), MNG AQUASAVE Inorganic Soil Improver (mng-20088), MNG Boron (mng- 20085), MNG Classic Plus (mng-19052), MNG Fe20 (mng-20084), MNG Mg12 (mng-20083), MNG Prill C","mng-20089, mng-20088, mng-19052, mng-20084, mng-20083, mng-20087, mng-21099, mng-20086",False,OMRI Products List,2026-02-05
Nutri-Mulch,Tier 3 - Other Soil/Media,Adrian Dyches,adrian.dyches@nutrimulch.com,+1435-851-3999,,,United States,Nutri-Mulch All Purpose Compost Ready To Use Organic Soil Conditioner (nma- 16856),,False,OMRI Products List,2026-02-05
"OBC Northwest, Inc.",Tier 3 - Other Soil/Media,Melanie Miller-Gonzalez,mmiller@obcnw.com,+18004774744,www.obcnw.com,"Canby, OR  97013",United States,Natural Soil Mix (obc-2344),obc-2344,False,OMRI Products List,2026-02-05
PLANTONIX LLC,Tier 3 - Other Soil/Media,,accounting@plantonix.com,+15417086070,www.plantonix.com,"Ashland, OR  97520",United States,"Plantonix Natural Growing Solutions Char Bliss Indoor Outdoor 100% Pure Organic Soil Conditioner Premium Quality BioChar (ptx-17176), Plantonix Natural Growing Solutions Neem Bliss Oil Pure Neem Oil 1","ptx-17176, ptx-11874, ptx-17009, ptx-17382, ptx-20354, ptx-17008",False,OMRI Products List,2026-02-05
PO Box 17161,Tier 3 - Other Soil/Media,,manager@earthessentialminerals.com,,,"Missoula, MT  59808",United States,"Earth Essential Minerals Bob's Secret Organic Soil Mineralizer (eem-22635), Earth Essential Silica (eem-21487), Earth Essential Silica (eem-21488) l","eem-22635, eem-21487, eem-21488",False,OMRI Products List,2026-02-05
Plastitech,Tier 3 - Other Soil/Media,Louis Charbonneau,lcharbonneau@plastitech.com,+18667527002,www.plastitech.com,,Canada,PlastiTech Professional Sphagnum Peat Moss (cpt-7329),cpt-7329,False,OMRI Products List,2026-02-05
Primal Substrates Inc,Tier 3 - Other Soil/Media,Sindhu Srinivasan,sindhu@primalsubstrates.com,,,,United States,Primal Substrates Primal Coco Coir Brick (psn-19955),psn-19955,False,OMRI Products List,2026-02-05
ProSource Plus LLC,Tier 3 - Other Soil/Media,Julia Kozak,prosourceplus@gmail.com,+12014650899,,"Wayne, NJ  07470",United States,"Peat Moss Coarse (psb-20028), Royal Crush Washed (psb-14866), Royal Pith Washed Coarse (psb-11783), Royal Pith Washed X-Coarse (psb-11782)","psb-20028, psb-14866, psb-11783, psb-11782",False,OMRI Products List,2026-02-05
Profile Products,Tier 3 - Other Soil/Media,Jeff Langner,jlangner@profileproducts.com,+18002076457,www.profileproducts.com,"Buffalo Grove, IL  60089",United States,"HydraFiber EZ Blend (prp-13151), HydraFiber Hydroponic Substrate + Coir  5KG Blocks (prp-22570), HydraFiber Ultra 065WB (prp-13146), HydraFiber Ultra 160WB (prp- 13148), HydraFiber Ultra 365WB (prp-13","prp-13151, prp-22570, prp-13146, prp-13149, prp-18486, prp-20155",False,OMRI Products List,2026-02-05
REMMY SUBSTRATES INDIA PRIVATE,Tier 3 - Other Soil/Media,LIMITED,info@remmy.in,,www.remmy.in,"COIMBATORE, TAMILNADU  642202",India,"Remmy 5kg Washed Coco Block (rem-18830), Remmy PROPAGATION CUBES (rem-22824), Remmy Substrates India Private Limited REMMY Embracing Roots PROSPER+ (rem-15344), Remmy Substrates India Private Limited ","rem-18830, rem-22824, rem-15344, rem-15342",False,OMRI Products List,2026-02-05
SECOND TOOL,Tier 3 - Other Soil/Media,SAMSIC KIM,secondtool19@gmail.com,+8201064350353,,,"21, Bakgok 1-gil, Gunbuk-myeon",PRIMA Coco Peat (sfj-22018),sfj-22018,False,OMRI Products List,2026-02-05
SIA Hortimed,Tier 3 - Other Soil/Media,Ritvars Jakobijs,ritvars@hortimedpeat.com,+37162103000,https://hortimedpeat.com/,,,"Hortimed HUMUS Biostimulant (sio- 20898), Hortimed Humus Soil Conditioner (sio- 17505), Hortimed Raw Natural Peat Moss (sio- 17152), Sapropel (sio-20856)",sio-20856,False,OMRI Products List,2026-02-05
